AAABC;BIJOT
FHIST;
FHISY;ADOOR,CMOPR,DLOOR,EKLNU,LMPRU
FHITW;ACCRT
FHLOS;AABDR,ACCET,ACRTW,ADILR,AEHTW,CEORT,COOTT,EEIRV,EGIIT,ELOPR
FHLSU;
FHMSU;CELNT,EELOT,GOORT,INOTT
FHNOS;BBIIR,DGIIR,DLOUW,IRRTT
FHOOS;BFINU,GMRTU
FHOOW;
FHORS;BBIIN,CCEEK,CIINO,CIMPY,COPRU,DEEMR,DGIIN,DGINU,DILOY,EEENP,EGIMN,EILWW,IKLLO
FHORT;GHIRT,GILOP
FHOSU;ACDEG,COPRR
FHOSW;
FHOTT;ACEIN,AEEMR,AEGRU,CEERU,DILRY,EENRU,ELMUU,GHIRR,GHLUU,GHORU
FHOTU;ADEMN
FHOTW;
FHRSU;ABLOR,COOPR,DLLYY,GILPT
FHRTU;ADEEN,AELNY,CEILP,DEGIN,EGGIN
FIIIL;AACRT,AARSS,ABRTY,ACENN,ACEST,ACMST,ACNST,ACNTY,ADDEP,ADEPS,ADNOS,AENST,AGNNS,AGNNZ,BSTUY,CEEST,CEISS,CENTV,CENTY,CGNNT,CNNOT,DDEFU,DDEOS,DEEST,DEFNT,DEFSU,DEMPS,DENTY,DEORS,DEOSS,DESTU,DGLNR,DGNSU,DGNUZ,EENST,EFNST,ELMOR,EMNTY,EMPRS,EMPSS,ENNTY,ESTTU,GGNNY,GHNTY,GNQUY
FIILM;AADPT,AANTY,ABBFU,AENTY,DOOPU,EENNY,EINTY,MNOOR,MORTY,NOPPY
FIINS;ASTTU,DEOOP,DGOUU
FIINX;BEELL,BELLY,LOSTU
FIITX;DDEEO
FIJSU;
FIKLS;LOORT
FIKLU;
FIKNS;
FIKRS;HLLOO,LLOOT
FIKSS;ABCHY,AEEHW,AEHMT,CHITT,EHMNO
FIKSU;
FILLO;ACCER,ACFIY,ACGOU,ACIPR,ACLRU,ACRUY,ADDFY,AEGIR,AEMMR,CILNU,GINRV
FILLR;ACIOP,ACLOU,AMOTU
FILLS;
FILLY;ACFIO,ADDFO,BLSSU,CGHIN
FILMP;AADIT,AAJOO,CEORY,CEOXY,COORU,DIOOU,INOPY
FILMS;EFUUV,HOOOT
FILMU;BEHLT,DEEMS,EEIRS,EEISS,EELLR,EEMRS
FILMY;EEINN,EIINT,INOPP
FILNT;
FILOO;AAJMP,ACGLU,ADLNP,CDHPR,DIMPU,GHPRT,LPTTY
FILOS;CFGNY,CGUUU
FILPS;CEHTY,HLOOW,OOORT
FILRS;DGIOY,DHOOY,HMPUY
FILRT;AACMU
FILST;AAADL
FILSU;AACCR,AACLO,AAORW,CGOUU
FILTT;AINOR,DHORY,LOOPY
FILTY;AABFI,EGIUV
FILUZ;ABGIN,DGIIN
FIMOT;AGINU,AHLLR,ALLRU,AMRUU,DGIIR,GLNOO
FIMRS;BILOY,CHOPY,CIORT,GIORT,IIOST,ILLOT,IOTTU
FIMTU;AACLR,ACDEL,ACLLO,ALLOR,ALNOR,AMORU,BEHLL,CEINN,CLORR,EFLLN,EGLNN
FIMTY;AAILN,ACCOP,DILLU,DOOPS
FINNY;AELLR,CCDEO,CDELO,CGIIZ,DEGIS,EEILM,FGILS,GIIKZ,IKLST
FINOS;AAFLT,AALTX,ADEIP,DEEST,EFHSS
FINRS;
FINST;
FINTU;BEENO,CDEEN,CDEEV,CEIMN,EENQR
FINTY;
FINUX;
FINUY;ACNST,AGILQ,CCGIR,CDGIL,DOPRT,EGILQ,FGIRT,GHIRT,GIILQ,GIJST,GILPP,GIPPY,GIRSS,GKRSS
FIOQU;ADMRR,AELRT,EELMN
FIOST;ACLLP,CCGHK
FIPSS;AALOR,ACEER,AEHLT,AEINO,AERUW,CEHHI,CHINT,CIOOR,DEORS,DINRT,EEHIP,EEHKL,EEINX,EEOOR,EERUX,EGNOR,EIILM,EILOV,EINOO,ELNOP,EMNRU,EMRRU,ENOOR,ILMRT
FIRRY;
FIRST;
FIRTT;AGMNO,AILNO,ALNOY,INOUU
FIRTU;ABEEI,EENNQ
FIRTY;
FIRTZ;AEEEN,AEENR,EGHIP
FIRZZ;
FISST;
FISTT;ACINO,CHIKS
FISTW;DDOOR,DOORU,IIKRU,MORRU
FISTY;DMOOP
FITWY;
FIYZZ;
FKLNU;
FKLOO;EELWY
FKLOS;
FKLOY;DEMNU,EELOW
FKLUY;
FKNSU;ADDNY,AFRRT
FKNUY;GIRSS
FKORS;ADLMO,AFNRT,DEENS,EENOT,HILLO,ILLOT
FKORY;AELNS
FKSSU;ABELT,HLORW
FKSSY;ABCHI,CEELL,EILRT,ILMNU,MNOOT
FLLOY;ADDFI,EEKOW,EINOP,OOOTW
FLLSU;BDLOO,DEEEN,DEEPY,DHRYY,MORTY,OPRTY
FLLUY;ADFRU,AEHMS,AESTT,AHKNT,DEEPS,DHRSY,EEGNV,GHIRT,HIMRT,IRSTT
FLMPU;CIOOR,DIIOO
FLNOW;ADRST,ALMUY,DEELU,DETTY
FLNOY;AABMT,ACCLO,AILMR,AIMSU,AIRTT,AIRUX,GLRUW,IIMPP,KMOOS,LMRUU
FLOOR;ABDOR,CDHIP,CEENW,CHLOT,GHIPT,GTUUY
FLOOS;CLSUU
FLOPS;AAEKS,ABDIR,ACIIR,ACILT,AHHOT,BELLY,EHLOR,ELLUY,EORTW,HILOW,IOORT
FLORS;DGIIY
FLORU;AABCN,BIIMM
FLORY;AABDF,AFISS,DEIIS
FLOSS;AABET,AFPTW,CEKNW,CLOUU,COOTT,CORUU,HKRUW,KNOTW,OOOTT
FLOST;CIKLN,GHIOT
FLOSU;AACIL,CGIUU
FLOSW;ABRRU,ACHRT,ADNRT,DEHOO
FLOTU;CCELN,GHHTU
FLOTY;EMOOR,LOOOW
FLOUW;
FLRRU;CIMOT
FLRSU;DHLYY,GHIPT,HIMPY
FLTUY;GHILR,HILMR
FMOOS;BBOPR,BMORR,CIILU,EKLNW,EKOPR,GHRTU,KLNOY,OOPRR
FMORS;BBOOP,BMOOR,CHIPY,CIIRT,GIIRT,IIIST,IILLT,OOOPR
FMORU;BIILM,CCIIL,CCILU,CCIMU,CILMU,CILRT,EOPRT
FMPRU;CILOO,EOORT
FNNUY;ALLMU,CELNO
FNORR;ACHIS,ADGIU,AINTU,COTTU,GHIIY,GIITY,HISTT,HOOPT
FNORS;
FNORT;HOOPR
FNORW;
FNOST;AAFIL,AAILX,AHIIS,AILOT
FNOTU;ADEHM,ADORY,AGIIM,AGIIT,BDLUU,BEELM,EEILL,EEILX,GIITT,GIOOT
FOOPR;AEFLM,CDHIL,CIIRT,CILMU,GHILT
FOOPS;HILLW
FOOPY;DLNRU,EILLN,ELRTU
FOORS;ABDIN,ADHIY,BMMOR,CHIIN,CHRTU
FOORY;ADNTU,BEFNU,CEMNR,CILMT,CIMNT,CLLLU,DLNPU,EENST,GLTUU
FOOST;AEFTU,CHRRU,GHMRU
FOOSW;DOPRR
FOOSY;ADHIR
FOOTY;ADNRU,CILMR,CIMNR,ELMOR,ELPRU,GLRUU,LLOOW
FOOWY;EEKLL,LLOOT
FOPRS;AACDI,ABDIL,EEEHN,EERRV,HILUW
FOPSU;CHORR,ELLLY
FORRU;ABGHO,ACCTT,ADGIN,AINNT,CILMT,CNOTT
FORRY;BDESU,CEMNO,EEELV,EIILN
FORST;AAGLL
FORSU;ADINN,CDDNW,IITTT
FORSW;CDEEE,DOOPR,HILPU
FORTY;AADEM,ADNOU,ELMOO,GLOUU
FORWY;
FOSST;BDNOU,CCKOO,CDEEK,CEEOP,CKOOT,CLOOT,EGOOO,EHLUU,KLNOW,KMNOY,LOOOT
FOSSW;AGNPR,BEORU,CEKLN,DHINT,EELLR,EHLMR,EINRS,EINRZ,ELNOT,ELRRU,HKLRU,KLNOT
FOSTT;AACIN,ACIIN,AILNO,CIIIN,INOPR
FOSTU;DIORW,IMRRW
FOSTY;CGHIP
FRRSU;
FRRUY;BDEOS
FRSSU;AAFGN,ABDOR,ADIOV,DHIIN,HKLOW,ILMMO
FRSTU;BDNOO
FRSUY;ABEFL,ABJLO,DHLLY,HILMP,ILLTT,LLMOT,LLOPT
FRSUZ;
FRTUY;ADNOO,GLOOU,LLMOS,LLOPS,LLSTU
FRUYZ;
FSSTU;ADIIO,AGIIM,BDEGU,BDNOO,EIIMO,GILOO
FSSUY;
FSTTU;AACNR,ACDNY,AIINS
FSTUY;ACDNT,ACINN
FTTUY;AEFFT,AELLS,HLLRU,LLRSU
FUYZZ;
GGGLO;
GGHOS;AAEIP,ACJNU,AEEIP,AEOPU
GGHUY;ADEOR,AILLN,BEMRU
GGIJY;
GGIMS;ACOTY,ALORY,BBJOU,DEEEV,EENNT,EERSU
GGINO;DITUU,EIMOV
GGINS;DIIIT
GGIOT;AAMOR,DINUU,EFNRT,EMMNR,FHNOR
GGIPY;ACHNO,AHLOO,CHNOO,ENNOT
GGIRS;AAAHW
GGIWY;
GGLOY;
GGLSU;
GGMOY;
GGMSU;BBIJO
GGMUY;AAIMN,AEOST,AOSST,BEHRU
GGNOS;AADLR
GGNUY;
GGOOS;AEHPU,AERSS,EERRV
GGORS;
GGOSY;AERUV,ALORT,EEKLR,LLOOS
GGPUY;
GGRUY;
GGSUV;AEORY
GGUVY;
GHHIS;ADILO,AELLL
GHHIT;BINRT,BIRRT,CLORT,FORRT,GILTT
GHHOS;ACEPR,ACRYY,ADIIL,ADOPR,ALOPR,AMOPR,BEINT,EPPYY
GHHOU;
GHIKT;BORRW
GHILT;EEOOZ,GHITT,ILMRW
GHIMT;ADKRU,AINNT,AINNU,AKRTU,CEEOR,CILOR,ILLRW
GHINO;
GHINS;
GHINT;
GHINY;CFIMY
GHIOS;AAMOP,APPUX,BKLOT,CCLOP,CMMMU,FLOTT
GHIPT;AAAOU,ACOPR,ADIOR
GHIRS;
GHIRT;
GHISS;AADPY,AAKPR,AALPU,CDENU,DEIPU,DEJPU,DILPU
GHIST;
GHISW;AAADR,GIILR,MMPUU
GHITT;AKMRU,ALLRU,ALRRU,BHIRR,CHLOR,FHORR
GHITW;BNNOU
GHLLY;AAABI,AABEI,AEJPR,AGINU,BBINO,BEOOP,BIMNU,CEINO,CFIIN,CIILN,OOPTY
GHLOU;ABINX,FHTTU,GIKNN,INOTW
GHLPU;
GHLPY;ACCOR,ACOOR,AEERT,AEIRX,AEJLR,AGIOO,AGOOR,AHOOR,AMMOR,BELOO,CEOTY,HOOPT,MOOOR,OOORT
GHNOS;
GHNOT;AAEEL,AEEMO
GHORU;AADIP,ADINN,ADINP,AIIMP,DINOP,ILMOO
GHOSS;DOPYY,EEEPR,MNOPY
GHOST;AFMOR,BIKLO,DILPR,FILOT,ILOOR
GHOSU;AEGOP,AEOPX,AIPPX,AMMOO,AMOOP,AOOPZ,MOOYZ
GHOSY;AACMM,ACHRY,ACPPR,ADNRU,AELPX,AENUX,ALPPR,ALPRX,BENOP,CEOPR,CNOPY,EENPZ,EHPPY,MOOUZ,NOPUY
GHOTU;AAAIP,AILLP
GHOTY;AAILR,ACCIP,ACILL,AEEMR,AHPPY,AMOPR,CELPY,CILMO,CILOR,EEMRR,EHPRY,EIMRV,ELPPR,EMOOZ,EMRRY,HILLP,HLOPP,LOOPR
GHRSU;
GHSSU;DIILP
GHSTU;BBILL,BFILL
GHSUV;AELOR
GHSUY;DENOR,EIMOZ,MOOOZ,NOOPY
GHUVY;
GIILS;AAAMT,AACLT,AAEHM,AAEQU,AAHMP,AHLTT,ALMMR,CEHTT,DEEIT
GIILV;ACHRT,EFTUY
GIINP;
GIINR;
GIJNO;AADRU,ADEPR,ADNRU,AEPRT,AIRSV,AIRVZ,CCENT,CEPRT,DFGRU,ENRRU,MPTUU,NORSU
GIJOS;ABNNW,AINRV,BBGMU,CNNRU,CNRRU,DINRY,NNORU
GIJOT;AENPR,CCENN,CENPR,MNPUU
GIKLS;BHOOT,CDLOO,DIOOT
GIKNS;
GIKOP;
GILLR;AACNN,AACTY,ACIIT,AITTY,FHTUY,HIMTW
GILLS;AADNN,AANOZ,AATTY,AFHHT,AHITT,AHMPT,INYZZ
GILLY;AACRT,AASTT,AIRTT
GILMS;AACLR,BCOOR,CCOOO,HNNOT,IOOST,IOOTX,LOORR,OOOPT
GILNO;
GILNP;
GILNS;
GILNT;
GILNU;
GILNY;
GILOO;ACDIR,ACDIU,ACHPT,ACTTU,CCIMR,CPRTT,DPRTT,FHPRT,HMORU
GILOR;CCIMO,CHIMT,COOPT,FHOPT,HMOOU,HPTWW,MPTUU
GILPU;AEEKL,EHLOO,MORTU
GILPY;AHOPR,AHOPS,HOOSY,OOSTT
GILRS;
GILRU;HMOOO,MOPTU
GILRY;CIINZ,HILNW
GILST;
GILSU;CFOUU
GILTU;ACOOT,ADORV,AHLRT,AHRRT,BDLOO,MOPRU
GILTZ;AACEO,AEEHR,AEHIO,AIINN,AIINV,AINOT,EEEEN,EEHOO,EEIIM
GIMMU;
GIMNS;CIIKK
GIMNY;BBLLU,BHLLU,BJLLU,BLLMU,BLLRU
GIMOS;BBGJU,CCLOO,CHMMU,ILOTX,LOOPT
GIMOY;AABRT,AACKR,AADDL,AELPZ,AIRTT,BBORR,EHRTV
GIMOZ;AELPY,EEERT,EHLOO
GIMPS;AACRT,AAMRT,AARRT,AARTT,EEENO,LOOOT
GIMPU;LORTU
GIMPY;
GIMRY;AACKO,BBOOR,CEFIN,CFIIN,DEINS,EFINT,EHOTV,ENOOT,FINOT,IINST
GIMSS;BCEIL,EELMU,ILLRT
GINNY;AACLM,ACGLL,ADGLL,BGLLU,CEHIU,CFIIZ,FIIKZ,HRRUU
GINOP;
GINOR;
GINOT;
GINOW;
GINOY;DERRV
GINOZ;EILVW,ILPRY,LPRYY
GINPS;
GINQU;AADRT,ABBER,CEIKN,CENOR,CLLOO,EFILY,FIILY
GINRS;
GINRU;
GINRW;
GINSS;
GINST;
GINSU;
GINSW;
GINSZ;
GINTY;ACFIK,AFIMT
GINVY;ALLTU,ALNTU,IILNT
GINWY;
GINYZ;AEEPR,BFIMO,CFIIN,CIILR,EEFLR,EEHLW,EELOS,EHLMO,FIIKN,HILWZ,IIPRT,ILLSZ,ILOPR,LLPUZ,LOPRY
GIOPP;AAHLY,AHHPY,AHLRY,DEHIM,EHLOT,FFHIR,HHPRY
GIOPR;AACLT,AADHR,AADHU,AALST,ACHHR,ACHOZ,ACOTV,AHHLT,AHLPY,CCOSY,CLOOT,CLOTT,COSYZ,DLOTT,FHLOT,HHPPY,HLTWW,LMTUU
GIORR;AADHP,ABHPV,ACHHP,ACHMP,BBMOY,BCILY,BHKTW,CFFII,CNNOW,FHHTT,FHINY
GIORS;
GIORT;AAGMO,CLOOP
GIORU;HLMOO
GIORV;
GIOSY;ACIRT,ACRTT,BELOR,BERRU,CCDIL,CCLOR,CCLRU,CCOPR,COPRZ,DFILR,ELLOX,ELRUV,ELUUX,LLORU,LORRU,LORUV
GIPPY;AAHLO,AHHOP,AHLOS,LNOOS
GIPRS;BIIKR,CCOOY,COOYZ,MOUUY
GIPRT;AACLO,AAEEG,AAEMZ,AALOS,AAMMS,AAMRS,AAMST,ACOOV,ADHIO,AEFLO,AELOT,AHHLO,AMORS,CDEIN,CLOOO,CLOOT,DEIMN,DLOOT,EINRW,FHLOO,HLOWW,IINYZ
GIPRY;AACCH,AADHS,CCOOS,COOSZ
GIPSY;AAHPR,ABCGK,AEHRR,AHLOP,CCOOR,COORZ,HLOOY,MORUU
GIRRS;AADLU,BIIKP
GIRST;
GIRSY;ACIOT,ACOTT,CCOOP,CHOPT,COOPZ,MOPUU
GISST;CDKLO,CKLOW
GISSW;AALLP,CKLOT,EEKOR,HORTT,OPRTY
GISTU;
GISTW;AAEER
GJMUU;INOPT
GJNOS;ABINW,ACETU,ACGHU,ACNTU,CERRU,CINRU,CIRRU,DIIRY
GJOSU;ABERT,ABRTU,ACENT,ACGHN,ACNNT,ACNRR,AEELM,AKNRR,BBGIM,BIIMN,BIINN,CENRR,CINNR,CINRR,EGLTU
GKLNO;DIIKN,DIKNY,EEEMU,EEFLT,EEITU,IILTU
GKNOS;AAEMN,AJRRU,BBBII,BCPRU,CEHRU
GKNSU;AEIPP,BCOPR,CEHOR
GKNUY;
GKOOS;ADHIW,BDEIU,BHILT,CDILL,DEIIL,DIILT,PRRUW
GKOOY;ACILR,ADERZ
GKORS;AAMRY,ABCHU,AEHMT,AHMPY,AJNRU,BCNPU,CEHNU,DEHIY,EEGLY,EEILU,EEISW,EILNN,EINNO,OPRUW
GKOSS;AERTT,BEOTU,BINPR,CDILT,CEENO,CFIIN,CILTW,EEIRW,IINTU
GKOSU;ABCHR,ACERT,AJNRR,BCNPR,BDEIO,CEHNR,EEILR,OPRRW
GKOSW;DEELN,EEIRS,OPRRU
GKSSU;ABERT,ACNNY,AEINQ,AIMNN,AINQW,ALPPR,BEOOT,EEILR,FINRY
GLLOO;AACMY,CEENN,DEFOW
GLLOY;ALOPR,FLMOU,GOOSS,GOOTT
GLLSU;BIMRU
GLLUY;ACJNO,ACOSU,ADGRS,ARTTU,FNORW
GLMOO;AAPRR,CCIIR
GLMOS;HINNT
GLMOU;EEEKN,ENORY,FIINR,FIMNX,GINPR,IILNN,IMNOY,INNRY,IPRTU
GLMSU;
GLNOO;
GLNOP;
GLNOS;
GLNOU;
GLNSU;
GLOOP;CHIIO,EHIPT
GLOOS;
GLOOY;AANST
GLOPS;CHIIT
GLORW;HIPTW
GLORY;AACEM,AANRT,ABCHY,ABLLU,ACCHP,AHMMP,AHPST,DDENU
GLOSS;LNOOO
GLOST;CHLNO
GLOSV;IIORT,IORUY
GLOSW;DEEKN,EELLY,EHIPU
GLOTU;AANRR,ADIRV,CEIIR,EHIKR,EIRTT,FHHTU
GLOUV;ADIRT,AFINR,IORSY
GLPSU;ABDOR,NOOYY
GLPUY;DEOOS,ENOOS,NOOSY
GLRRR;
GLRRS;AAABO,AABOO,AADIU,ACEOO,ACHIL,AEHOO,AEIMO,AEIOS,AEOOT,CHIIO,EEIOT,EEOOT,EHOOO,ELLOO,ENOOP,IINTY,ILMOO,IOOUY
GLRSU;NOOWY
GLRUY;CCIOS,FLNOW
GLSSU;
GLSTU;
GMMUY;CIIKN,EPRUW
GMNOO;AAGRR,ACHRR,OOPTY
GMNOS;
GMNOU;
GMNSU;
GMNUU;BGGHI,CIRRR,FFHIR,FFILN
GMOOR;AAGIT,AAGNR,ACHMR,ACHNR,CCIIL
GMORS;
GMORY;BBIOR,BELOY,CHINO,EELSU,EHITV,EHRTY,FIINT,HLOOP,HOPYZ,ILNNU,ILOOS
GMOSS;AADEV,ABLNO,ACEEP,ACEHN,ADELT,AEHLY,AENTU,EENSU,HNOPY
GMPRU;ILOTU
GMPSU;AHOOO
GMPSY;AACHR,ACORT,AEHLL,CIINO,EMNOR
GMPYY;ACORT,HNOOS,HOORZ
GMSSU;AAAAS,AFIIT,AGOTY,BCEOR,BEENT,EEORT
GNNOS;COTTU,DRTUU
GNNUY;ACOPP,ADORS,AIMRR,BBILS,BGILL,CCIIL,CEHII,HIRRU,ILLOV,ILMOR,MOOOS
GNNYY;AILNO,AILOP
GNOOP;DRRUX,MOOTY
GNOOS;
GNOOY;AALST,AHPRS,AIMNN,CDINP,CHIMR,CHIPR,CHPSY,CLMSU,COSTU,HPSUY,ILMMU,LRSUW,MOOPT
GNOOZ;DELTU
GNOPR;AEHHP,AHHOP
GNOPS;
GNOPY;AAHLX,AAHPT,ACNPU,ADLRU,MOOOT
GNORW;DDOOU,DKORU
GNORY;CHLOO
GNOSS;HMOPY,HORTW
GNOST;CNOTU,COOUY
GNOSW;BBEGO,DEEKL
GNOSY;AALOT,AKLMO
GNOTU;COOSY
GNOUY;ACNPP,AIPTT,CIITT,DEEHI,IIPTT
GNOYZ;ABCHR,AIILR,AILMT,AILTU,BFIIM,EEHPS,IILPR,ILPRY
GNPSU;HLOOW,HOOYY,LMOOY,LOOYY
GNRSU;
GNRTU;
GNRUW;AEELO,CEINS,DDOOO,DKOOR,EIISV,EINSV,EIOST,HIILP,IIOTT
GNSSU;
GNSTU;CNOOT,COOOY
GNSUW;AABRR,ACORR,ADIST,DEHOR,EIIRV
GOOPS;AAHIM,ABTTU,AHMOU,AHOUZ,CCIRY,CIRYZ,KRRUW
GOOPY;ABHIN,ACHPR,ADHRX,AHNRS,AHPRT,BCHIN,CCIRS,CDINN,CGHIN,CHINR,CHNSY,CIRSZ,HMRYZ,HNSUY,MNOOT
GOORS;AARRT,CCIPY,CIPYZ,KPRUW
GOORY;ABHRU,ACHPP,ADHPX,AHNPS,AHPPT,AMSTT,BBIMR,BEHHP,CCIPS,CEPRT,CHIMN,CHINP,CIPSZ,HMPYZ
GOOSY;AALNT,AHNPR,AKLMN,ALMOT,ALMOU,ALMPU,AMNRT,AMRTT,CCILR,CCIPR,CCLLL,CHNPY,CIPRZ,CNOTU,GLLOS,HMOUZ,HNPUY,ILLRU,ILRRU,ILRUV,LNRUW,MNNOU,MNOUZ
GOOTU;ABJRR,ACINS,ACJNR,ACRRR,ADFRS,CIINV,CIKNO,CIKNR,CINSU,CNOSY,FINOT,HHINS,HHTTU,HINNS,HINPS,INNPS,INORT,INPPT,INQTU
GOPPY;AAHNT,ACNNU,AHHIP,AHHTY,AHRRY,HHIPR
GOPRS;CCIOY,CHITY,CIOYZ
GOPRU;HHTTU,ILMTU
GOPRY;AACCH,ACCHL,ADHHR,ADHOX,AGHHR,AGHLO,AHHLO,AHLST,ALLLO,CCIOS,CIOSZ,HHIPP,HLMOO
GOPSY;AACHT,ACMRT,AHLRT,AHLRX,BHLOU,CCIOR,CFHIT,CHIRT,CHLOY,CIORZ,HILOY,ILORT,ILOTT,IMRUU
GORSS;HIRTY,HITTW
GORST;
GORSW;AARRS,DDEIU,DEIIO,DEIOT,DEOOU,EEHIV,EEIKS
GORSY;BILOT,CCILO,CCIOP,CHIPT,DFIIL,ILMOO,ILOOT,ILOPT
GORSZ;AIILN,IIINN,IINOR
GORTU;
GORUY;ABLLL,FLLNW,ILMNN
GORVY;ABFIL,BEINU,DEEER,DEINR,EENSS,EHIMT,EHINP,EILSU,EINPT
GOSSU;EEMNS
GOSTU;CNNOT
GOSTY;AACLL,AALMP,AALNO,ACIIR,ACILM,ACIMZ,ACMPR,AILMP,ALMOO,AMNOR
GOTUY;CIINT,IINPT
GPPUY;ACNNO,FIILN,FIINY
GPPYY;AHHOT,AHORR,AHORT,ALOOR,FIINU,ILNOT
GPRSU;
GPRTY;AACHH,AAHOU,AEEHL,AEHHO,AELNN,AHLOS,AHMOO,CEOOR,CLOOY,EHHOY,EHLOP,IIINS,IIINZ,ILNOS
GPSSU;AAHIL,DHIIL,IINTT
GPSYY;AHINX,CHLOO,CHNOO,EHHOP,EHINO,EHOTZ,EILNO,HILOO,HMNOO,HNOOU,ILNOR,ILNOT,LNOOU
GRRUY;AADMT,ABHOO,AIMNN,BILLN,EILNN,ILOOS
GRSTU;
GRSUU;BEEFT,BEHTT,ENNNR
GRSUY;CHILN,EIMPT,FIINS,FIKNS,IILNT,ILLNT,ILNTT
GSSTU;
GSSUY;ACKNN,AGMOT,AILMN,AIMMN,FIINR,FIKNR,GHILL,IMNOO
GSTUY;AEHLR,AELLR,AFHLL,AMNRZ,EFINP,FIIJN
GTTUY;ABILN,AHHOW,AILNN,AINOS,ALLRU,CIINO,GILLN,HILOR,ILNRS
HHIPS;AABSW,ACCIO,ACCOW,ACLOO,AELLO,EELMO,ELMOO,ELOOP,GIRTW,LOOPY,OPSYY
HHISS;DGINT
HHISW;AABPS,ACCOP,ACEFN,ALLWY
HHMPU;AINTY
HHOOS;AAMPP,ABELP,ADMNU,AFLPT,ANNPT,BBERY,BEMOP,BEPPY,DILMU,DOTUY,EGRUU,EILMP,EILPP,EMNOP,ILPPT,ILPPY,MMOPR
HHPPT;ACIOS,ACOSY,AEGMO,AGOOR,AGOYY,BEOOO,ENOOO,EOOOR,EOORS,GLOOY,NOOOY,OOORT
HHPYY;ADORT,AGOPT,AIMOT,DEORT,DILOR,EGORT,EOPSS,IOPSS,LLOPS,LMORT
HHSSU;AABIK,ACDDN,ACIPR,AMMOT,BCIII,CCIMR,GILRT,MMOTU,OOPPR
HHSUU;AACHI,ARRUU,CCENR,EGOOR
HHSUY;ACCRW,ADEOT,CILLR,DOOOT,GILLO
HIIKO;AAHWW
HIILN;AACOP,AAENT,AALOR,AANOT,ABCDR,ABEMT,ACCHL,ACOPY,ADLOP,AIPPP,AMOPY,BCOPY,CCCEO,CCNOO,CEORZ,ELMRY,GGNPU
HIIMS;
HIIOS;AABLP,ABILP,ABMPU,ACCDR,ACCHP,ACCMS,ACDDE,ACDLP,ACGMY,ACMRY,ADELP,ADGHL,ADGLM,ALOPZ,BCCEL,CDERU,CGLRR,CSSVY,DEMPP,EELTT,EFGLT,ELLPY,ELOPZ,GLOTY,LMOPZ,LSSTY
HIIRS;AABLZ,ABHUV,ACCDO,ACCHL,ACGHH,ACMOY,ADLNT,DLNWW,DNNNY
HIJOS;
HIKLT;CCOST,CEOSS,EGNSS,ISSTY
HIKLW;ACOOR,ADEOS,AEIRT,AELLR
HIKNS;BHIKU
HIKNT;AEKOP
HIKNY;AELSS,ALPRS,EFLSU
HIKOS;AAAKT,ADLTY
HIKRS;
HIKST;
HIKSW;
HILLO;BBIIP,BERWW,CGIOP,CIIPP,EERTZ,INRTT
HILLS;BIMPY
HILLT;EEEWW
HILLY;AAABG,AABEG,AGGNU,BGMNU,BGNSU,BIMPS,EIMNR,EMNPU
HILMU;CDGIO,GNPTY,GOOOR
HILOT;
HILPY;AAHNT,ADERU,AEGRX,AGGOO,AHMOT,AOORT,BDORY,DEHOR,DEOPR,DHORY,EHOST,ELMNU,EOORT,GOOSY,HOOPT,OORST,OOSST
HILRT;AABCY,ACDII,ACHMY,ACMTU,BCDHI
HILRW;BELOW,GILMT,GOPTW
HILSS;AAAAC,CDKOO,CDOOU,GGINN
HILST;
HILSU;AACPR,AAELL,ACORV,ACORZ,AEEOP,DDEEN,OOOPZ
HILSY;CDHIL,EEFRV,EFGHR,EILOP,GOOPY
HILTT;AAMUZ,ACMRU,AGRRU,DEEOY,DFORY,EENOR,GGHIT,GNORT,MNORY
HIMRT;CCOYY,COOTY,GILLW,LNOTY
HIMSS;BDIRY,EHNPY
HIMST;AAAMM,FLOOO
HIMSW;ABEET,ACDET,AEENT,EELLL,EHITT,GMPUU
HIMSY;AAAHN,AAGKN,ABDOR,ACEOR,ACGIO,ACIOR,ACORZ,ADNOR,AEOPX,DNORU,DORUX,EGOUZ
HIMTY;FLLRU
HINNT;AAAMO,AABIT,ACEHP,ADFOO,ADOOO,AENOO,EEENT
HINNY;AACLO,AAEGX,ACEGK,ACEMO,AGPPU,AIMTU,CEGIU,CENPP,GRRUU
HINOR;AAAPP,AAILL,ALMNO,AMORU,BDMOY,DDIIU,DTUWY,FGIRY,GLPPT
HINPU;ABELN,ACINQ,AHMTY,AMRTT,BMRTT,CCGKU,CGIRR,DEILM,DEIMR,DEORT,DGOOR,EGIUZ,EGORT,ELLMY,ELORT,GGIRT,GKORT
HINSS;BKNUU,CIKKT
HINST;
HINSW;DOOPW
HINSY;AAAHM,BBLOS,BEIMO,BEOSS,EFKLU,EMMOO
HINWY;ALMOS,CLLOS,LORTU
HIOPP;AAANR,AABNO,AACNR,AAMOR,ABORY,ACDET,ACGRT,ACIMP,ADEIL,AEEMN,AGHPY,AGLRY,BCORY,BEHOP,CDEIL,CIILL,CINNT,EGLOT,EHILP,FFGIR,GHPRY,HMOOR
HIOPT;AAAGU,AABOU,ABKOO,AHMYY,GNNTU,HLOOT
HIORS;BFHRT,BRTTW,FLOTT
